nr,cor,pred,loss,pred0,pred1,pred2,pred3,pred4,pred5,pred6,pred7,pred8,drot90,drot180,drot270,dtrans1_1,dtrans5_5,dtrans-5_-5,dscale1.2,dscale1.5,dscale2,rrot90,rrot180,rrot270,rtrans1_1,rtrans5_5,rtrans-5_-5,rscale1.2,rscale1.5,rscale2,prot90,prot180,prot270,ptrans1_1,ptrans5_5,ptrans-5_-5,pscale1.2,pscale1.5,pscale2,crot90,crot180,crot270,ctrans1_1,ctrans5_5,ctrans-5_-5,cscale1.2,cscale1.5,cscale2
10,[4.29115 1.48777 0.58437],[3.882682 2.203536 0.590345],0.22640104597909827,[3.992496 1.72995  0.523987],[3.922576 1.770997 0.538705],[4.071897 2.156183 0.573462],[3.968069 2.120564 0.570081],[4.127412 1.588562 0.505364],[4.440048 2.17788  0.554232],[4.506907 2.454164 0.584651],[6.218553 2.558681 0.540093],[5.296165 2.220466 0.520773],-0.43012887239456177,-0.4442831873893738,0.12497937679290771,-0.01784747838973999,-0.4552239775657654,0.4955981373786926,0.8691595196723938,2.6407642364501953,1.3608412742614746,0.9355762600898743,0.933456301689148,1.01871919631958,0.9973269104957581,0.9318175911903381,1.0742294788360596,1.1301807165145874,1.3955274820327759,1.2038235664367676,0.0802486557488713,0.06378265933236212,0.012776546458539428,0.004862005385444235,0.1484358138098365,0.1042066279179051,0.15083451115138402,1.8616494361888887,0.6676868977100412,0.05049720186875837,0.07271647805828958,0.1649888924866532,0.16833783905032806,0.01440371291591456,0.16644373128845577,0.3268227893725888,1.6212308015752352,0.5169805448891415
11,[14.74203  2.30622  0.30078],[11.484598  1.685348  0.39064 ],3.6681396152351957,[13.118087  2.371135  0.423842],[12.102562  3.16635   0.484283],[12.164916  1.904909  0.399951],[12.815087  1.968735  0.374862],[12.953867  1.707147  0.329344],[12.044744  1.892169  0.397536],[12.410937  2.533439  0.432616],[14.267082  2.953333  0.422183],[16.335764  0.557251  0.201269],2.352478265762329,2.19260835647583,0.9091900587081909,1.5980982780456543,1.429772138595581,0.7738624215126038,1.8164061307907104,4.082011699676514,3.5336978435516357,1.1734789609909058,1.1616896390914917,1.0670464038848877,1.1178487539291382,1.105435848236084,1.0570669174194336,1.1339473724365234,1.3010201454162598,1.260585904121399,1.0465638372438626,0.8613381141941971,0.17037541284306248,0.6169194525031507,0.7209943894887708,0.11886180244633356,0.5263747251261087,3.1169992617963906,8.280757962073036,0.8855166010818142,2.5800960720786805,2.2708004814388185,1.277497505167047,1.1857437153783057,2.4853846225343337,1.8343341132738729,0.21968971023802153,1.8695943032711322
12,[1.1708   0.32775  0.274413],[3.017384 0.458616 0.382765],1.1462456983232798,[0.920213 0.501742 0.393499],[2.036449 0.360747 0.354573],[2.382613 0.498978 0.375763],[2.01808  0.499874 0.401296],[0.974848 0.510197 0.402107],[3.455802 0.475471 0.378345],[1.753785 0.429038 0.386701],[0.924157 0.485283 0.388576],[0.982228 0.529478 0.41297 ],-2.043311357498169,-1.1069962978363037,-0.6014108657836914,-0.9395153522491455,-1.9716124534606934,0.4508536159992218,-1.2892415523529053,-2.0607495307922363,-1.9340883493423462,0.47047531604766846,0.7131216526031494,0.8441442251205444,0.7565243244171143,0.48905614018440247,1.116838812828064,0.6658927798271179,0.4659561514854431,0.4987805187702179,1.4667001799973036,0.32420212517988656,0.13487050651951962,0.33355139955942104,1.3916620553848287,0.06417150874493682,0.5325239890538107,1.4607809177839302,1.3825969552912483,0.03574955863099606,0.25228738354095176,0.5026939941585863,0.2545362042284014,0.029330006269835673,1.7512861870418217,0.12091305923414848,0.0328941785179894,0.03181724059291352
13,[2.76448  0.901068 0.56723 ],[1.282648 0.572911 0.418961],0.7751651126703724,[2.668014 0.775102 0.440089],[1.107378 0.554829 0.419105],[1.169605 0.565692 0.426422],[1.056333 0.540232 0.411917],[0.909263 0.503736 0.394681],[1.278056 0.610901 0.444601],[2.491716 0.870326 0.465589],[1.396657 0.593721 0.417833],[1.263905 0.429083 0.376459],1.608683705329895,-0.1932086944580078,-0.1128019392490387,-0.2660383880138397,-0.46683987975120544,0.059037744998931885,1.5531103610992432,0.13369035720825195,-0.2050742506980896,1.7072627544403076,0.9150553345680237,0.9504063725471497,0.8830354809761047,0.7947524785995483,1.025956153869629,1.682829737663269,1.0587773323059082,0.9098385572433472,0.6535213132956557,0.010348865486797365,0.004295567665648352,0.017445445919003138,0.0482637749652867,0.0007072420456033512,0.5174915056768551,0.004477449895650428,0.007614793404850791,0.01377935801228089,0.9626028367541059,0.891977181932123,1.024030541790445,1.209825151685355,0.769563289229989,0.028558697255034033,0.6625735190140153,0.8369628766661465
14,[1.11692  0.53677  0.463406],[2.818947 0.927566 0.468931],1.0165492782826102,[2.558014 1.097257 0.506515],[2.713974 1.049408 0.495863],[2.740043 1.126016 0.50679 ],[2.612936 0.899054 0.471031],[2.579276 0.947546 0.483636],[2.882392 1.055133 0.490046],[3.498943 1.673452 0.529488],[3.9836   1.593331 0.502903],[5.160107 1.873251 0.483639],-0.053657978773117065,0.04380127787590027,0.15740492939949036,-0.23242267966270447,-0.2049858570098877,0.21212711930274963,1.4864386320114136,1.86439049243927,3.3015518188476562,0.9872710704803467,1.0103906393051147,1.0373400449752808,0.9448639750480652,0.9513726234436035,1.0503214597702026,1.3526173830032349,1.442276120185852,1.7832038402557373,0.03276452294637414,0.008863376759202938,0.015680573087208494,0.01441935079597941,0.01935254405972131,0.0069148393394149466,0.3408025186619114,0.600271473131636,2.125188259286741,0.797585699572069,0.9381447074750248,0.9945400195432773,0.789790186362537,0.7692105312086222,1.128766967274571,2.3234814441771574,3.111911850022333,6.044649373894082
15,[6.1794   0.373061 0.322395],[7.047704 0.448348 0.353643],0.253531959915696,[6.748766 0.489045 0.364099],[5.902966 0.375092 0.347887],[6.141819 0.33329  0.342074],[6.575507 0.54968  0.370182],[6.708452 0.473944 0.365182],[5.795383 0.546425 0.367346],[7.52282  0.488145 0.343478],[4.249198 0.37697  0.363373],[2.036344 0.71567  0.443993],-0.24778422713279724,-1.223749041557312,-1.0325113534927368,-0.3543248474597931,-0.3021157681941986,-1.1405394077301025,0.5047489404678345,-2.8601534366607666,-4.653687000274658,0.9684339165687561,0.8441023826599121,0.8684647679328918,0.9548613429069519,0.9615123867988586,0.8547027111053467,1.06430184841156,0.6356350779533386,0.4071505069732666,0.03037646853313003,0.4386083367076597,0.27800004080768687,0.07783730830861213,0.038626640898609864,0.5260377067304551,0.07580767350747575,2.6122747045093724,8.39778180320144,0.11312301764534623,0.0256899931004536,0.0011271235057950379,0.06345949815646952,0.09730145227148823,0.059848155984781104,0.6061557570876664,1.242458126079941,5.765692447475566
16,[2.57822  0.411067 0.308878],[3.87229  0.683087 0.402156],0.5857708584333842,[2.890531 0.654501 0.401813],[2.702933 0.770215 0.441465],[2.537278 0.872077 0.464705],[3.635318 0.564632 0.381167],[2.390751 0.440399 0.376264],[3.836439 0.850981 0.425278],[3.487462 0.667478 0.399282],[2.666522 0.681262 0.41904 ],[1.53735  0.688364 0.455141],-1.0106873512268066,-1.0429186820983887,-1.083472490310669,-0.3764152526855469,-1.7501190900802612,0.1551656424999237,-0.40331077575683594,-1.1907094717025757,-2.276677370071411,0.7961310148239136,0.7896295189857483,0.7814492583274841,0.9240720272064209,0.6469777822494507,1.0312989950180054,0.9186468720436096,0.7598181366920471,0.5407640337944031,0.3215562012091591,0.45884379961953076,0.6072957483433955,0.02354262439802331,0.7515088006533915,0.010002779016002291,0.049448129663574036,0.48472190521533215,1.8182596011279335,0.05514505849842549,0.054040115851052506,0.0794962573894357,0.38208792565541655,0.013515322761940547,0.5967296205040786,0.3002134787151273,0.030979335739466776,0.39389882468352955
17,[18.40229   0.360517  0.267253],[20.33274   0.542745  0.119596],1.2605499207276887,[16.582941  0.126242  0.194814],[18.621769  0.26495   0.145092],[18.463783 -0.081918  0.127485],[19.400581  0.359158  0.117558],[17.679276  0.658503  0.143787],[17.246204  0.492623  0.179922],[20.878376  0.150519  0.081815],[19.861492  0.268635  0.095939],[6.531759 0.390603 0.347968],-4.091084957122803,-1.9632710218429565,-2.485732316970825,-1.117784023284912,-2.513516664505005,-3.0763325691223145,0.11562809348106384,-0.7690163850784302,-13.724751472473145,0.8051406741142273,0.9064889550209045,0.881604015827179,0.9467595815658569,0.8802806735038757,0.8534736037254333,1.0055073499679565,0.9633715152740479,0.34628725051879883,4.746710095953337,1.001748228249568,1.2944227896601925,0.3008764540006936,2.3516210020682373,3.1776194849404895,0.1509954562786199,0.09925711680197491,63.5141305532087,1.1233875970417604,0.02407579731788005,0.07302183950481662,0.33966534724579533,0.20892977194086657,0.45387085294227686,2.0698294512285744,0.7223539740763107,46.97231046387504
18,[1.73669 0.6375  0.55439],[3.110613 1.339332 0.51291 ],0.7939840531000261,[2.596779 1.022192 0.493761],[3.496827 1.24165  0.492939],[2.569648 0.838003 0.459474],[3.259872 1.537112 0.531228],[3.064311 1.346961 0.519237],[3.120134 1.396079 0.51695 ],[4.512861 2.012245 0.51788 ],[4.653635 1.943757 0.508836],[5.912415 3.420691 0.720412],-0.8501216173171997,0.26856207847595215,-1.095729112625122,0.36535829305648804,-0.03234457969665527,0.07030856609344482,2.080132246017456,2.143373727798462,5.090663433074951,0.8287031054496765,1.0541144609451294,0.7792139649391174,1.0736186504364014,0.9934827089309692,1.0141669511795044,1.419140338897705,1.4318833351135254,2.0257532596588135,0.12165649822931861,0.05303399856857519,0.18227637072519087,0.020576968031232212,0.0007473617769827948,0.001109081240850666,0.8063791425764713,0.9154210139767459,4.075069025040558,0.2971388591247456,1.1556185218645854,0.24767636152457181,1.04330750637524,0.755716313579556,0.8302536060488955,3.1994609248422052,3.405649485299266,8.403464178945361
19,[1.55686 1.418   0.67134],[1.274821 0.588513 0.427763],0.275641397286918,[1.70977  0.603749 0.420506],[1.424508 0.57731  0.417306],[3.077432 0.812114 0.444925],[1.768847 0.655793 0.439419],[1.302176 0.588557 0.428801],[2.579091 0.74126  0.431022],[3.435118 0.762195 0.421414],[1.117626 0.525002 0.401921],[1.385868 0.620966 0.434299],0.44292837381362915,0.12802666425704956,2.0433740615844727,0.572961688041687,0.028436899185180664,1.4602749347686768,2.327629804611206,-0.24654722213745117,0.1500360369682312,1.1933259963989258,1.055880069732666,1.8918757438659668,1.2500818967819214,1.0124119520187378,1.6373692750930786,2.0159454345703125,0.8923891186714172,1.0654865503311157,0.0631551563095402,0.007546987691262312,1.0998991357819687,0.08290806384825238,0.00024979088302264546,0.5748202892172017,1.5656962047884544,0.009803889544751124,0.004475764635800535,0.249767884373889,0.26293665530080745,0.9101670895436836,0.22656194238785085,0.2705548327330464,0.52022878052235,1.3401322834456302,0.35431920152925717,0.2402298274679178
