"","mean","sd","0%","25%","50%","75%","100%"
"crot90",0.625114053362255,0.696577866389351,0.000533569483206293,0.160110552945976,0.433333075020614,0.859157542053498,6.11621149571329
"crot180",0.664399773956126,0.760083165032969,0.000530172911387871,0.161703732492935,0.446395498074827,0.887758014131683,9.10591127590705
"crot270",0.644889535894133,0.751055314343046,0.000658995617814063,0.152972971953343,0.429178424807472,0.85626001701057,7.56241413969748
"cscale1.2",1.08989944033218,2.02222473374538,0.00112989765167572,0.222928841568136,0.601089273599686,1.16589017879815,27.8275673850932
"cscale1.5",5.03127948437805,11.0709045720712,0.00339076906074656,0.686391180698877,1.98202546319948,4.40024430214394,112.025264769526
"cscale2",9.57365948216933,15.7808796804721,0.00474457473284475,1.36512525249422,4.09969329339751,10.1057776403874,112.290230043594
"ctrans1_1",0.582639023951721,0.628631804339781,0.000171952553857272,0.144257243897631,0.411666194768132,0.807904694468359,6.77925152062728
"ctrans5_5",1.34835694752651,2.12953701429296,0.000407830860164495,0.18147787102085,0.607256317164976,1.59906625803972,18.2193185857361
"ctrans.5_.5",1.13180340138813,1.71425318625993,0.000460829516050526,0.191568404048299,0.565024822006955,1.31777190545759,15.3986311526156
"drot90",-0.0310966023744084,0.124850982187859,-0.557090502418578,-0.0950142166111618,-0.0152104903012514,0.029032426699996,0.493512684851885
"drot180",-0.0437985711442307,0.137719254905464,-0.620900932885706,-0.117343677673489,-0.0198700171895325,0.0319287379039452,0.414888931065798
"drot270",-0.0313522945246194,0.128875078679258,-0.638344069570303,-0.0982846798142418,-0.0162709015421569,0.0340515256626532,0.465014187432826
"dscale1.2",0.0138787869591266,0.245235394451002,-0.924983750656247,-0.101050805137493,0.0322406990919262,0.159179316833615,0.77199159860611
"dscale1.5",-0.239757608690392,0.57521836147619,-2.30337446033955,-0.556638728454709,-0.128983374126255,0.118771009100601,1.28693008348346
"dscale2",-0.520493620223226,0.760675279298727,-2.80618164017797,-1.02192810107954,-0.421368203312159,0.0435352760832757,1.63443017229438
"dtrans1_1",-0.0198638370302971,0.0744428768861649,-0.420148804783821,-0.0564371415413916,-0.00916849123314023,0.0172435405664146,0.257534870877862
"dtrans5_5",-0.191944030150631,0.230179006060959,-1.12349176108837,-0.341325447219424,-0.14715397474356,-0.0068016529083252,0.461008955538273
"dtrans.5_.5",-0.159038521243306,0.218674352287931,-1.10285635199398,-0.308666903083213,-0.11344348504208,0.00274507740978152,0.510958999767899
"loss",0.548079371987011,0.537044968106406,0.000276574766076511,0.144806918837351,0.412620283248609,0.770783149293196,4.54725885523751
"prot90",0.110255666311836,0.179529546475122,4.69699564902195e-06,0.0151276020362217,0.0547557137026757,0.132462392130585,4.31766452055655
"prot180",0.134166382534816,0.2290260100281,7.70690363452106e-07,0.0171631078181559,0.0608161388925758,0.163225736315075,4.31610228702245
"prot270",0.115148714887053,0.191721263085652,8.71284763133764e-07,0.0143081082133995,0.0549058594774838,0.138212672779116,2.71925215824892
"pscale1.2",0.555535796609482,0.951331847033902,5.63713694296149e-07,0.0980104903195532,0.330815236051548,0.680919557803451,14.2000665843817
"pscale1.5",3.76069485175946,8.06777017544182,8.15346336690559e-06,0.473023613404762,1.69349420235942,3.41434960555267,80.0795725586279
"pscale2",7.54683912253345,12.042424269612,8.91742567137553e-06,0.976934056010375,3.38823329707309,7.98048265950026,80.1663791841667
"ptrans1_1",0.0379869962713833,0.0728239448094719,1.83070903822698e-07,0.00411732098022886,0.0163553041293723,0.0425997622740094,1.26790127634166
"ptrans5_5",0.560400369413777,1.08962157489717,4.81399673406616e-07,0.0274763952263823,0.151222566122719,0.588013547698871,15.362092245972
"ptrans.5_.5",0.424813662438952,0.767490031810749,1.36850436844253e-06,0.026075732199647,0.139349116739013,0.476806395113488,7.63765286604932
"rrot90",0.989587266552609,0.120266609277084,0.351177773223123,0.935285261610875,0.984131942437735,1.03141964816211,3.03779688161858
"rrot180",0.981943482672709,0.117954309688335,0.360264104122038,0.922523299434192,0.979195708441003,1.03243311677397,1.70160833600818
"rrot270",0.983870058238274,0.109675612621788,0.339827773173736,0.930817392550667,0.982667647029323,1.03329123298674,1.76281123237203
"rscale1.2",1.03838735277108,0.198788705876058,0.227093963858239,0.938729949266343,1.04302671381883,1.14269952816555,2.35342895262432
"rscale1.5",0.928263820362703,0.44395789284117,0.0517641632119827,0.645644633768603,0.911046183118697,1.1623703606241,4.06413526760999
"rscale2",0.842294192010897,0.779437545992243,0.0387375711724727,0.34479899881709,0.695334803852202,1.06030831727943,7.92178031420748
"rtrans1_1",0.990189140220947,0.0654994023548136,0.36117809202027,0.9602755928119,0.990589573472681,1.01791221228504,1.66338749895267
"rtrans5_5",0.894440496761131,0.163546745704538,0.209713743562492,0.813251780031037,0.904118469902814,0.987728925202904,2.31356318747011
"rtrans.5_.5",0.922528755016139,0.169682242730124,0.186752621707178,0.839214454441135,0.92357510685637,1.00489559410453,2.0944227988783
